hashtag,ds,yhat,yhat_lower,yhat_upper
#Python,2026-07-03 16:12:00,22.87210195546703,16.417112578291142,29.946398990939343
#Python,2026-07-03 16:41:00,12.646655984318924,5.808323126049507,19.37089461731589
#Python,2026-07-03 16:42:00,12.29405394024564,5.800510541985987,19.22538827935128
#Python,2026-07-03 16:43:00,11.941451891485832,5.315559287514985,19.05237495684724
#Python,2026-07-03 16:44:00,11.588849842726026,4.716243221072598,18.355032392273028
#Python,2026-07-03 16:45:00,11.23624779396622,4.404080329302687,18.116525276268522
#Python,2026-07-03 16:46:00,10.883645745206413,3.740603917883486,17.929317295760395
#Python,2026-07-03 16:47:00,10.531043696446604,3.5541333935224295,17.334900245862983
#Python,2026-07-03 16:48:00,10.178441647686798,3.7001791640717276,16.766573737282954
#Python,2026-07-03 16:49:00,9.825839598926992,3.562437839765439,16.771464758070913
#Python,2026-07-03 16:50:00,9.473237550167186,2.918684443765754,16.03564685052339
#Python,2026-07-03 16:51:00,9.12063550140738,2.304553593986944,15.828698165818668
#Python,2026-07-03 16:52:00,8.768033452647574,1.7935786859327154,15.765137437367628
#Python,2026-07-03 16:53:00,8.415431403887768,1.5325570782759612,14.685836675597562
#Python,2026-07-03 16:54:00,8.06282935512796,1.1847529638291479,14.875965822192526
#Python,2026-07-03 16:55:00,7.710227306368151,0.9105357215463966,14.673720115947932
#Python,2026-07-03 16:56:00,7.357625257608344,0.5233187961327791,13.626725922451556
#Python,2026-07-03 16:57:00,7.005023208848538,0.18380881692553094,13.88869117850692
#Python,2026-07-03 16:58:00,6.652421160088731,-0.6992837042655994,13.456784679943743
#Python,2026-07-03 16:59:00,6.299819111328925,-0.3419866386977002,13.199542798613216
#Python,2026-07-03 17:00:00,5.947217062569118,-1.4287373419881013,12.464773475540161
#Python,2026-07-03 17:01:00,5.594615013809311,-1.9069411622298609,11.895481660255019
#Python,2026-07-03 17:02:00,5.242012965049505,-1.6689814516210426,12.349826753895949
#Python,2026-07-03 17:03:00,4.8894109162896955,-1.433668090953448,11.529404253595853
#Python,2026-07-03 17:04:00,4.5368088675298885,-2.310006914203844,11.141546722424335
#Python,2026-07-03 17:05:00,4.1842068187700825,-2.6192609845223007,10.742327645348775
#Python,2026-07-03 17:06:00,3.831604770010276,-2.809804652402331,10.866286906153809
#Python,2026-07-03 17:07:00,3.479002721250472,-3.8513661447348904,9.905188870451948
#Python,2026-07-03 17:08:00,3.1264006724906657,-3.518902308803107,9.788401569577053
#Python,2026-07-03 17:09:00,2.773798623730859,-4.285663135003522,9.843135640999684
#Python,2026-07-03 17:10:00,2.4211965749710527,-4.884029090439921,8.75234719997418
#Python,2026-07-03 17:11:00,2.068594526211243,-4.529115718494546,8.380241175340258
#Python,2026-07-03 17:12:00,1.7159924774514366,-4.70243768227608,8.336294892887969
#Python,2026-07-03 17:13:00,1.36339042869163,-5.119424470767707,8.357401525902956
#AI,2026-07-03 16:12:00,16.50080618479327,-58.033694176160715,92.6269261249493
